"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"une banane","n.f.","A1","Fruit jaune, long et courbé, qui pousse dans les pays chauds.","banana","Nourriture","","Le singe épluche une banane dans l'arbre."
"une carotte","n.f.","A1","Légume orange qui pousse dans la terre et que les lapins adorent.","carrot","Nourriture","","La carotte est bonne pour les yeux, dit-on."
"une tomate","n.f.","A1","Fruit rouge juteux qu'on utilise beaucoup dans la cuisine.","tomato","Nourriture","","Je coupe une tomate en tranches pour la salade."
"le fromage","n.m.","A1","Aliment solide fabriqué à partir du lait caillé.","cheese","Nourriture","","La France est célèbre pour ses nombreux fromages."
"un gâteau","n.m.","A1","Pâtisserie sucrée que l'on mange souvent pour les anniversaires.","cake","Nourriture","","Maman a fait un gâteau au chocolat pour mon anniversaire."
"la soupe","n.f.","A1","Plat liquide chaud fait de légumes ou de viande.","soup","Nourriture","","Je mange une soupe bien chaude quand il fait froid."
"le riz","n.m.","A1","Céréale blanche sous forme de petits grains, très consommée dans le monde.","rice","Nourriture","","On mange du riz avec du poulet ce soir."
"un œuf","n.m.","A1","Aliment produit par les poules, utilisé en cuisine.","egg","Nourriture","","Je mange deux œufs brouillés au petit-déjeuner."
"une maison","n.f.","A1","Bâtiment où habitent des personnes, avec un toit et des murs.","house","Maison","","Notre maison a un grand jardin avec des fleurs."
"une porte","n.f.","A1","Panneau mobile qui ferme l'entrée d'une pièce ou d'un bâtiment.","door","Maison","","Ferme la porte, il fait froid dehors !"
"une fenêtre","n.f.","A1","Ouverture dans un mur, avec du verre, qui laisse entrer la lumière.","window","Maison","","Je regarde la pluie tomber par la fenêtre."
"une table","n.f.","A1","Meuble avec un plateau horizontal sur des pieds, où l'on mange ou travaille.","table","Maison","","On mange tous ensemble autour de la grande table."
"une chaise","n.f.","A1","Siège à quatre pieds avec un dossier, pour une personne.","chair","Maison","","Assieds-toi sur cette chaise pendant le cours."
"un lit","n.m.","A1","Meuble sur lequel on dort, avec un matelas et des couvertures.","bed","Maison","","Je vais au lit à 21 heures les soirs d'école."
"une cuisine","n.f.","A1","Pièce de la maison où l'on prépare les repas.","kitchen","Maison","","Maman prépare le dîner dans la cuisine."
"un jardin","n.m.","A1","Terrain près d'une maison avec des plantes, des fleurs et de l'herbe.","garden","Maison","","Je joue dans le jardin avec mon chien."
"une chambre","n.f.","A1","Pièce de la maison où l'on dort, avec un lit.","bedroom","Maison","","Ma chambre est décorée avec des posters de mes chanteurs préférés."
"un livre","n.m.","A1","Ensemble de pages reliées avec un texte ou des images.","book","École","","J'ai emprunté un livre sur les dinosaures à la bibliothèque."
"un crayon","n.m.","A1","Bâtonnet qui sert à écrire ou à dessiner.","pencil","École","","Je dessine une maison avec mon crayon rouge."
"une gomme","n.f.","A1","Petit outil en caoutchouc qui efface les traces de crayon.","eraser","École","","J'efface mon erreur avec ma gomme."
"un cahier","n.m.","A1","Ensemble de feuilles reliées dans lequel on écrit ses leçons.","notebook","École","","J'écris la date en haut de mon cahier."
"un stylo","n.m.","A1","Instrument qui sert à écrire avec de l'encre.","pen","École","","On écrit au stylo à partir du CE2."
"un sac","n.m.","A1","Contenant avec des bretelles pour transporter ses affaires.","bag, backpack","École","","Je mets mes livres et mon cahier dans mon sac d'école."
"un professeur","n.m.","A1","Personne qui enseigne et apprend aux élèves.","teacher","École","","Mon professeur explique les maths avec des exemples amusants."
"un pantalon","n.m.","A1","Vêtement qui couvre les jambes jusqu'aux chevilles.","pants, trousers","Vêtements","","Je mets un pantalon chaud en hiver."
"une robe","n.f.","A1","Vêtement féminin d'une seule pièce qui couvre le corps.","dress","Vêtements","","Ma sœur porte une belle robe bleue pour la fête."
"un chapeau","n.m.","A1","Couvre-chef rigide que l'on met sur la tête.","hat","Vêtements","","Je mets un chapeau pour me protéger du soleil."
"des chaussures","n.f.","A1","Couvre-pieds en cuir ou en tissu que l'on met pour marcher.","shoes","Vêtements","toujours au pluriel","Je mets mes chaussures avant de sortir."
"un manteau","n.m.","A1","Vêtement long et chaud que l'on porte par-dessus les autres habits.","coat","Vêtements","","Il fait froid, n'oublie pas ton manteau !"
"le soleil","n.m.","A1","L'étoile autour de laquelle tourne la Terre, qui donne lumière et chaleur.","sun","Météo","","Le soleil brille et il fait très beau aujourd'hui."
"la pluie","n.f.","A1","Eau qui tombe des nuages sous forme de gouttes.","rain","Météo","","Il faut prendre un parapluie quand il y a de la pluie."
"la neige","n.f.","A1","Eau gelée qui tombe du ciel en flocons blancs en hiver.","snow","Météo","","Les enfants font un bonhomme de neige dans la cour."
"le vent","n.m.","A1","Mouvement de l'air qui peut être doux ou très fort.","wind","Météo","","Le vent fort a soufflé toutes les feuilles de l'arbre."
"un nuage","n.m.","A1","Masse blanche ou grise dans le ciel, formée de gouttelettes d'eau.","cloud","Météo","","Les nuages sombres annoncent la pluie."
"une voiture","n.f.","A1","Véhicule à quatre roues et à moteur pour transporter des personnes.","car","Transport","","Mon père conduit la voiture pour aller au travail."
"un bus","n.m.","A1","Grand véhicule qui transporte beaucoup de passagers en ville.","bus","Transport","","Je prends le bus pour aller à l'école."
"un train","n.m.","A1","Véhicule sur rails pour les longs trajets.","train","Transport","","Nous prenons le train pour aller voir ma grand-mère."
"un vélo","n.m.","A1","Véhicule à deux roues que l'on fait avancer en pédalant.","bicycle, bike","Transport","","Je roule à vélo dans le parc avec mon frère."
"un avion","n.m.","A1","Appareil qui vole dans le ciel et transporte des passagers.","plane, airplane","Transport","","Nous prenons l'avion pour partir en vacances loin."
"un arbre","n.m.","A1","Grande plante avec un tronc, des branches et des feuilles.","tree","Nature","","Le chien s'est couché sous le grand arbre."
"une fleur","n.f.","A1","Partie colorée et souvent parfumée d'une plante.","flower","Nature","","Je cueille des fleurs dans le jardin pour ma maman."
"la mer","n.f.","A1","Grande étendue d'eau salée qui couvre une grande partie de la Terre.","sea","Nature","","En été, on va nager dans la mer."
"la montagne","n.f.","A1","Grande élévation de terrain rocheuse, souvent enneigée au sommet.","mountain","Nature","","En hiver, nous allons skier à la montagne."
"le ciel","n.m.","A1","L'espace au-dessus de nous, où se trouvent le soleil et les étoiles.","sky","Nature","","Le ciel est bleu et sans nuages aujourd'hui."
"une forêt","n.f.","A1","Grand espace naturel recouvert d'arbres.","forest","Nature","","On entend le chant des oiseaux dans la forêt."
"l'herbe","n.f.","A1","Plantes vertes basses qui couvrent le sol des prés et des jardins.","grass","Nature","","Les vaches mangent l'herbe dans le pré."
"rouge","adj.","A1","De la couleur du feu et du sang.","red","Couleurs","","Ma robe préférée est rouge avec des fleurs blanches."
"bleu","adj.","A1","De la couleur du ciel par beau temps.","blue","Couleurs","","Il a les yeux bleus comme l'océan."
"vert","adj.","A1","De la couleur de l'herbe et des feuilles.","green","Couleurs","","Les feuilles des arbres sont vertes au printemps."
"jaune","adj.","A1","De la couleur du soleil et du citron.","yellow","Couleurs","","Le canari est un petit oiseau jaune."
"blanc","adj.","A1","De la couleur de la neige et du lait.","white","Couleurs","","Le lapin blanc s'est caché dans la neige."
"noir","adj.","A1","De la couleur de la nuit sans lune.","black","Couleurs","","Le chat noir dort sur le canapé."
"rose","adj.","A1","D'une couleur entre le rouge et le blanc.","pink","Couleurs","","Elle a une chambre rose avec des étoiles dorées."
"orange","adj.","A1","De la couleur de l'orange, entre le rouge et le jaune.","orange","Couleurs","","Le renard a le pelage orange."
"grand","adj.","A1","De grande taille, qui mesure beaucoup, le contraire de petit.","big, tall, large","Adjectifs","","Mon grand frère mesure presque deux mètres."
"petit","adj.","A1","De petite taille, qui mesure peu, le contraire de grand.","small, little, short","Adjectifs","","Mon petit chat mange dans une minuscule gamelle."
"chaud","adj.","A1","Qui a une température élevée, le contraire de froid.","hot, warm","Adjectifs","","Le chocolat chaud réchauffe bien en hiver."
"froid","adj.","A1","Qui a une basse température, le contraire de chaud.","cold","Adjectifs","","L'eau de la rivière est trop froide pour se baigner."
"rapide","adj.","A2","Qui va vite, qui fait les choses en peu de temps.","fast, quick","Adjectifs","","Le guépard est l'animal terrestre le plus rapide."
"lent","adj.","A2","Qui va doucement, qui prend beaucoup de temps.","slow","Adjectifs","","La tortue est lente mais elle finit toujours par arriver."
"propre","adj.","A1","Qui est bien lavé, sans saleté.","clean","Adjectifs","","Lave-toi les mains pour les avoir propres avant de manger."
"sale","adj.","A1","Qui a de la saleté, qui n'est pas propre.","dirty","Adjectifs","","Mes chaussures sont sales après la promenade dans la boue."
"heureux","adj.","A1","Qui ressent de la joie, qui est content.","happy","Adjectifs","","Je suis heureux quand je joue avec mes amis."
"triste","adj.","A1","Qui ressent de la tristesse, qui n'est pas content.","sad","Adjectifs","","Le chien est triste quand son maître part au travail."
"manger","v.","A1","Avaler des aliments pour se nourrir.","to eat","Actions","","Je mange une pomme après l'école."
"boire","v.","A1","Avaler un liquide.","to drink","Actions","","Il faut boire beaucoup d'eau quand il fait chaud."
"dormir","v.","A1","Se reposer en fermant les yeux, la nuit ou le jour.","to sleep","Actions","","Je dors huit heures par nuit."
"jouer","v.","A1","Faire une activité amusante, un jeu ou un sport.","to play","Actions","","On joue au football dans la cour de récréation."
"courir","v.","A1","Avancer vite en faisant de grandes enjambées.","to run","Actions","","Je cours pour attraper mon bus."
"marcher","v.","A1","Avancer à pied, un pas après l'autre.","to walk","Actions","","On marche vingt minutes pour aller à l'école."
"parler","v.","A1","Dire des mots, s'exprimer avec la voix.","to speak, to talk","Actions","","Il parle très bien le français et l'anglais."
"lire","v.","A1","Regarder des mots écrits et les comprendre.","to read","Actions","","Je lis un livre avant de m'endormir."
"écrire","v.","A1","Tracer des lettres et des mots sur du papier.","to write","Actions","","J'écris une lettre à ma grand-mère."
"aimer","v.","A1","Ressentir de l'amour ou de l'affection pour quelqu'un ou quelque chose.","to like, to love","Actions","","J'aime beaucoup les animaux, surtout les chats."
"chanter","v.","A1","Faire de la musique avec sa voix.","to sing","Actions","","On chante une chanson en classe chaque vendredi."
"nager","v.","A1","Se déplacer dans l'eau en faisant des mouvements des bras et des jambes.","to swim","Actions","","Je nage dans la piscine deux fois par semaine."
"sauter","v.","A1","S'élancer en l'air avec ses jambes.","to jump","Actions","","Le chat saute sur la table pour attraper la souris."
"rire","v.","A1","Exprimer sa joie ou son amusement avec un son et un sourire.","to laugh","Actions","","On rit beaucoup avec mes amis à la récréation."
