"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"un pan de mur","n.m.","B2","Section, portion d'un mur (souvent en ruine ou isolée).","section of wall","Paysage","Composé fréquent : « un pan de chemise », « un pan d'histoire », « un pan de toit ».","On avait déblayé les ruines, abattu les pans de murs délabrés et reconstruit cinq maisons."
"dépouillé","adj.","B2","Débarrassé de l'inutile, du superflu ; nu, sobre.","stripped, bare, unadorned","Adjectifs de caractérisation","","Si cette action est dépouillée de tout égoïsme..."
"subjugué","adj./p.p.","B2","Captivé, dominé par une émotion ou une force.","captivated, subdued","Adjectifs de caractérisation","","[...] il était impossible de n'être pas subjugué par la beauté de ces jeunes arbres en pleine santé."
"imperturbablement","adv.","B2","D'une manière imperturbable, sans se laisser troubler ni distraire.","unflappably, imperturbably","Adverbes","Adverbe formé sur l'adjectif « imperturbable » ; même registre soutenu. Giono l'emploie pour souligner la constance du berger.","Il avait imperturbablement continué à planter."
"éberlué","adj.","B2","Très étonné, stupéfait, abasourdi.","dumbfounded, astonished","Adjectifs de caractérisation","","En 1933, il reçut la visite d'un garde forestier éberlué."
"la frugalité","n.f.","B2","Simplicité, sobriété (de vie, dans l'alimentation).","frugality","Noms abstraits","","Le travail paisible et régulier, l'air vif des hauteurs, la frugalité et surtout la sérénité de l'âme avaient donné à ce vieillard une santé presque solennelle."
"une rancœur","n.f.","B2","Ressentiment amer et tenace contre quelqu'un.","bitterness, resentment","Noms abstraits","Registre soutenu ; peu fréquent à l'oral.","Les femmes mijotent des rancœurs."
"un déboire","n.m.","B2","Déception, revers, échec.","setback, disappointment","Noms abstraits","Souvent au pluriel : « connaître des déboires ».","Je n'ai pas fait le compte de ses déboires."
"un pot-de-vin","n.m.","B2","Somme d'argent versée illégalement pour corrompre quelqu'un.","bribe","Société/administration","","Ils restèrent insensibles à tous les pots-de-vin que les bûcherons pouvaient proposer."
"une délégation","n.f.","B2","Groupe de personnes désignées pour représenter une institution ou accomplir une mission.","delegation","Société/administration","","En 1935, une véritable délégation administrative vint examiner la « forêt naturelle »."
"rapiécer","v.","B2","Réparer en cousant ou en posant des pièces.","to patch up","Verbe d'action","","[...] on voyait très bien comment son travail personnel avait rapiécé la ruine qu'il avait trouvée là à son arrivée."
"déverser","v.","B2","Verser en grande quantité, répandre.","to pour out","Verbe d'action","","Le berger qui ne fumait pas alla chercher un petit sac et déversa sur la table un tas de glands."
"déblayer","v.","B2","Débarrasser un lieu de ce qui l'encombre.","to clear away","Verbe d'action","","On avait déblayé les ruines, abattu les pans de murs délabrés et reconstruit cinq maisons."
"reboucher","v.","B2","Boucher de nouveau ; refermer une ouverture.","to plug back up, to fill in again","Verbe d'action","","Il faisait ainsi un trou dans lequel il mettait un gland, puis il rebouchait le trou."
"fléchir","v.","B2","Plier, faiblir physiquement ou moralement ; renoncer.","to bend, to weaken, to waver","Verbe d'action","Au figuré (céder, renoncer), registre soutenu. Au propre (plier les genoux), B1.","Je ne l'ai jamais vu fléchir ni douter."
"lever le camp","v. (loc.)","B2","Au propre : démonter et quitter un campement. Au figuré : partir, s'en aller.","to break camp, to clear out","Expression/idiome","Idiome figé. Emploi figuré courant à l'oral : « Allez, on lève le camp ! »","Il me fallut lever le camp. À cinq heures de marche de là, je n'avais toujours pas trouvé d'eau [...]"
"jadis","adv.","B2","Il y a longtemps, autrefois.","formerly, of old","Adverbes","Adverbe littéraire ; à l'oral, on préfère « autrefois » ou « il y a longtemps ».","Ces ruisseaux secs avaient jadis porté de l'eau, dans des temps très anciens."
"de mémoire d'homme","loc. adv.","B2","Depuis le plus loin qu'on s'en souvienne ; depuis toujours.","within living memory","Expression/idiome","","[...] je vis couler de l'eau dans des ruisseaux qui, de mémoire d'homme, avaient toujours été à sec."
"en vase clos","loc. adv.","B2","Coupé du monde extérieur, sans renouvellement ni contact.","in a closed environment, hermetically","Expression/idiome","","Les familles serrées les unes contre les autres [...] exaspèrent leur égoïsme en vase clos."
"un dada","n.m. (fam.)","B2","Hobby, marotte, sujet ou activité de prédilection.","hobby, pet pastime","Expression/idiome","Registre familier. Sens premier (cheval, en langage enfantin) toujours vivant.","Je l'avais considérée comme un dada, une collection de timbres, et oubliée."
"une combe","n.f. (régional)","C1","Petite vallée étroite et encaissée, souvent sèche, typique des reliefs calcaires.","small dry valley, dale","Paysage","Régionalisme (Sud-Est de la France, Jura) ; survit surtout en toponymie.","La pâture de ses bêtes était dans un fond de combe."
"un taillis","n.m.","C1","Petit bois ou partie de forêt dont les arbres sont régulièrement coupés à la base pour repousser.","coppice, thicket","Paysage","","[...] dans les taillis de chênes blancs à la toute extrémité des routes carrossables."
"une faîne","n.f. (botanique)","C1","Fruit du hêtre, contenu dans une cupule épineuse.","beechnut","Flore/faune","","[...] il avait près de sa maison une pépinière issue des faînes."
"le gazogène","n.m. (historique)","C1","Appareil produisant un gaz combustible à partir de bois ou charbon ; utilisé sur les automobiles pendant la Seconde Guerre mondiale faute d'essence.","wood-gas generator","Objets/outils","Référence historique (Occupation, 1940-44). Quasi disparu du français contemporain hors contexte historique.","Les automobiles marchant alors au gazogène, on n'avait jamais assez de bois."
"repriser","v.","C1","Réparer un vêtement à l'aiguille en faisant des points serrés.","to darn, to mend","Verbe d'action","Vocabulaire désuet ; peu connu activement par les natifs de moins de 40 ans.","[...] ses vêtements étaient reprisés avec le soin minutieux qui rend les reprises invisibles."
"charbonner","v.","C1","Fabriquer du charbon de bois.","to make charcoal","Verbe d'action","Verbe spécialisé/historique, rare dans le français contemporain.","Mettre la forêt sous la sauvegarde de l'État et interdire qu'on vienne y charbonner."
"irraisonné","adj. (littéraire)","C1","Qui n'est pas dicté par la raison ; aveugle, démesuré.","unreasoned, irrational","Adjectifs de caractérisation","À distinguer de « irrationnel » (qui contredit la raison). « Irraisonné » suggère plutôt l'absence de réflexion.","L'ambition irraisonnée s'y démesure, dans le désir continu de s'échapper de cet endroit."
"insoupçonnable","adj.","C1","Qui ne peut être soupçonné ; au-dessus de tout soupçon.","above suspicion","Adjectifs de caractérisation","","Si on l'avait soupçonné, on l'aurait contrarié. Il était insoupçonnable."
"la bassesse","n.f.","C1","Caractère vil, servile ou méprisable ; acte indigne.","baseness, servility","Noms abstraits","","Son chien, silencieux comme lui, était bienveillant sans bassesse."
"les desseins","n.m. pl. (soutenu)","C1","Projets, intentions, plans.","designs, plans, intentions","Noms abstraits","Quasi figé dans des collocations : « les desseins de la Providence », « de noirs desseins », « les desseins de Dieu ». Au singulier, encore plus littéraire.","[...] tout ce qu'il y a d'impossible à prévoir dans les desseins de la Providence."
"le foisonnement","n.m.","C1","Multiplication abondante, prolifération.","proliferation, abundance","Noms abstraits","","Les chasseurs [...] avaient bien constaté le foisonnement des petits arbres [...]"
"mijoter","v. (fig.)","C1","Au sens figuré : entretenir lentement (un sentiment, un projet), laisser couver.","to brew, to scheme, to nurse","Verbe d'action","Sens propre (cuire à feu doux) plus fréquent et accessible (B1). Le sens figuré est ici littéraire.","Les femmes mijotent des rancœurs."
"fendiller","v.","C1","Fendre légèrement en surface, faire de petites fissures.","to crack slightly","Verbe d'action","","[...] il éliminait encore les petits fruits ou ceux qui étaient légèrement fendillés [...]"
"intimer (l'ordre)","v. (formel)","C1","Signifier impérativement, donner un ordre avec autorité.","to formally order, to enjoin","Verbe d'action","Registre administratif/juridique. À ne pas confondre avec l'anglais « to intimate » (= laisser entendre, suggérer), qui est un faux ami complet.","Ce fonctionnaire lui intima l'ordre de ne pas faire de feu dehors [...]"
"exaspérer","v. (litt.)","C1","Sens étymologique et littéraire : pousser à l'extrême, porter à son comble. À distinguer du sens courant moderne (irriter, agacer).","to push to extremes, to inflame","Verbe d'action","Le sens courant (irriter, agacer) est B2. Cet emploi littéraire chez Giono illustre la polysémie du verbe.","Les familles serrées les unes contre les autres [...] exaspèrent leur égoïsme en vase clos."
"au surplus","loc. adv. (soutenu)","C1","En outre, de plus.","moreover, what is more","Adverbes","Connecteur très formel/littéraire. À remplacer par « en outre » ou « de plus » à l'oral ou dans un texte courant.","Et, au surplus, je connaissais parfaitement le caractère des rares villages de cette région."
"la douche écossaise","n.f. (idiome)","C1","Alternance brutale et déstabilisante d'éléments opposés (chaud/froid, bonne/mauvaise nouvelle).","alternating extremes, roller coaster of emotions","Expression/idiome","Idiome figé ; ne pas calquer en anglais (« Scottish shower » ne signifie rien pour un anglophone).","Les plus solides qualités craquent sous cette perpétuelle douche écossaise."
"à fleur de terre","loc. adv.","C1","Au niveau de la surface du sol, au ras du sol ; affleurant ou presque.","just below the surface","Expression/idiome","Sur le modèle productif « à fleur de + nom » : à fleur de peau (au niveau de la peau), à fleur d'eau (à la surface de l'eau).","[...] il soupçonnait, avec juste raison, qu'il y avait de l'humidité presque à fleur de terre."
"un chêne","n.m.","A2","Grand arbre à feuilles caduques produisant des glands, symbole de force et de longévité.","oak","Flore/faune","","Restaient dix mille chênes qui allaient pousser dans cet endroit où il n'y avait rien auparavant."
"une lavande","n.f.","A2","Plante aromatique aux fleurs violettes, très répandue en Provence.","lavender","Flore/faune","","Il n'y poussait que des lavandes sauvages."
"un saule","n.m.","B1","Arbre à longues branches souples qui pousse souvent au bord de l'eau.","willow","Flore/faune","","En même temps que l'eau réapparut réapparaissaient les saules, les osiers, les prés, les jardins, les fleurs [...]"
"un lièvre","n.m.","B1","Mammifère sauvage semblable au lapin mais aux longues pattes arrière, très rapide à la course.","hare","Flore/faune","","Les chasseurs qui montaient dans les solitudes à la poursuite des lièvres ou des sangliers [...]"
"un sanglier","n.m.","B1","Mammifère sauvage à la peau épaisse, ancêtre du cochon domestique, vivant dans les forêts.","wild boar","Flore/faune","","Les chasseurs qui montaient dans les solitudes à la poursuite des lièvres ou des sangliers [...]"
"un tilleul","n.m.","B1","Grand arbre à fleurs parfumées jaunes, souvent planté dans les places de village.","lime tree, linden tree","Flore/faune","","on avait planté près d'elle un tilleul qui pouvait déjà avoir dans les quatre ans, déjà gras, symbole incontestable d'une résurrection."
"une ortie","n.f.","B1","Plante sauvage dont les feuilles et tiges provoquent une brûlure au contact.","nettle","Flore/faune","Souvent au pluriel : les orties","Les orties dévoraient autour d'eux les maisons abandonnées."
"une essence","n.f.","C1","(sylviculture) Espèce d'arbre, avec ses caractéristiques propres.","tree species","Flore/faune","Sens spécialisé en foresterie","mon ami fit une brève suggestion à propos de certaines essences auxquelles le terrain d'ici paraissait devoir convenir."
"le seigle","n.m.","B2","Céréale à longues tiges, résistante au froid, cultivée pour son grain.","rye","Flore/faune","","Sur les flancs abaissés de la montagne, je voyais de petits champs d'orge et de seigle en herbe."
"l'orge","n.f.","B2","Céréale à épis longs, cultivée pour l'alimentation et pour la brasserie.","barley","Flore/faune","Genre féminin : de l'orge","Sur les flancs abaissés de la montagne, je voyais de petits champs d'orge et de seigle en herbe."
"une menthe","n.f.","A2","Plante aromatique à feuilles vertes et odorantes, utilisée en cuisine et en infusion.","mint","Flore/faune","","dans les bosquets d'érables, les bassins des fontaines débordent sur des tapis de menthes fraîches."
"un fauve","n.m.","B2","Animal sauvage et dangereux, en particulier un grand prédateur.","wild beast","Flore/faune","","Ses grondements dans les carcasses des maisons étaient ceux d'un fauve dérangé dans son repas."
"un ruisseau","n.m.","B1","Petit cours d'eau naturel, peu profond et peu large.","stream","Paysage","","je vis couler de l'eau dans des ruisseaux qui, de mémoire d'homme, avaient toujours été à sec."
"un bosquet","n.m.","B2","Petit groupe d'arbres formant un ensemble dans un paysage.","grove, small wood","Paysage","","Il me montra d'admirables bosquets de bouleaux qui dataient de cinq ans à peine."
"une prairie","n.f.","B1","Vaste étendue d'herbe naturelle, servant souvent de pâturage.","meadow, grassland","Paysage","","Au fond des étroites vallées, quelques prairies verdissaient."
"un potager","n.m.","A2","Jardin où l'on cultive des légumes et des herbes pour la consommation.","vegetable garden","Paysage","","Les maisons neuves, crépies de frais, étaient entourées de jardins potagers où poussaient les légumes et les fleurs [...]"
"un flanc","n.m.","B2","Versant, côté d'une colline ou d'une montagne.","slope, flank, hillside","Paysage","","Sur les flancs abaissés de la montagne, je voyais de petits champs d'orge et de seigle en herbe."
"un tronçon","n.m.","B2","Section ou partie d'un chemin, d'une route, d'un cours d'eau.","section, stretch","Paysage","","Elle avait, en trois tronçons, onze kilomètres de long et trois kilomètres dans sa plus grande largeur."
"une bourrasque","n.f.","B2","Coup de vent violent et soudain, souvent accompagné de pluie.","gust of wind, squall","Paysage","","Au lieu des bourrasques sèches et brutales qui m'accueillaient jadis, soufflait une brise souple chargée d'odeurs."
"une brise","n.f.","B1","Vent doux et léger.","breeze","Paysage","","Au lieu des bourrasques sèches et brutales [...] soufflait une brise souple chargée d'odeurs."
"une carcasse","n.f.","B2","Structure ou squelette restant d'un bâtiment détruit ou d'un être.","shell, carcass, skeleton","Paysage","Sens figuré ici : ruines","Ses grondements dans les carcasses des maisons étaient ceux d'un fauve dérangé dans son repas."
"la sécheresse","n.f.","B2","Absence prolongée de pluie ; état d'un terrain manquant d'humidité.","drought, dryness","Paysage","","C'était partout la même sécheresse, les mêmes herbes ligneuses."
"un brouillard","n.m.","A2","Fine suspension de gouttelettes d'eau dans l'air, réduisant la visibilité.","fog, mist","Paysage","","j'aperçus dans le lointain une sorte de brouillard gris qui recouvrait les hauteurs comme un tapis."
"une citerne","n.f.","B2","Grand réservoir pour stocker l'eau de pluie ou de source.","cistern, water tank","Habitat","","au vingtième siècle, on était obligé d'avoir recours à des citernes pour avoir un peu d'eau."
"un hameçon","n.m.","B2","Petit crochet acéré au bout d'un fil de pêche, qui sert à attraper les poissons.","fishhook","Société","","les archéologues avaient trouvé des hameçons à des endroits où, au vingtième siècle, on était obligé d'avoir recours à des citernes."
"étanche","adj.","B2","Qui ne laisse pas passer l'eau ni l'air.","watertight, sealed","Habitat","","Son toit était solide et étanche. Le vent qui le frappait faisait sur les tuiles le bruit de la mer sur les plages."
"un hospice","n.m.","B2","Établissement accueillant des personnes âgées ou des malades ne pouvant vivre seules.","hospice, old people's home","Société","","Elzéard Bouffier est mort paisiblement en 1947 à l'hospice de Banon."
"un paysan","n.m.","B1","Personne qui vit de la terre, qui cultive en milieu rural.","peasant, farmer","Société","","ce vieux paysan sans culture qui a su mener à bien cette œuvre digne de Dieu."
"un vieillard","n.m.","B1","Homme très âgé.","old man, elderly man","Société","","le travail paisible et régulier [...] avait donné à ce vieillard une santé presque solennelle."
"naïf","adj.","B1","Qui manque d'expérience ou de méfiance, qui croit sans questionner.","naive","Caractère","Forme féminine : naïve","C'était la première fois, lui dit cet homme naïf, qu'on voyait une forêt pousser toute seule."
"insolite","adj.","B2","Qui est inhabituel et surprenant, qui sort de l'ordinaire.","remarkable, unusual","Caractère","","Il n'habitait pas une cabane mais une vraie maison en pierre [...] C'était insolite dans ce pays dépouillé de tout."
"paisible","adj.","B1","Calme, tranquille, qui ne trouble pas la paix.","peaceful","Caractère","","Le travail paisible et régulier, l'air vif des hauteurs, la frugalité [...] avaient donné à ce vieillard une santé presque solennelle."
"solennel","adj.","B2","Qui a un caractère majestueux et grave, empreint de grandeur.","solemn","Caractère","Forme féminine : solennelle","le travail paisible [...] avait donné à ce vieillard une santé presque solennelle."
"obstinément","adv.","B2","D'une manière tenace et déterminée, sans se laisser décourager.","stubbornly, obstinately","Caractère","","il poursuivait obstinément sa tâche, très simple."
"désolé","adj.","B1","(d'un lieu) Désertique, ravagé, sans vie ni végétation.","desolate, barren","Paysage","Ne pas confondre avec désolé = sorry","j'étais bien cependant dans cette région jadis en ruine et désolée."
"ligneux","adj.","C1","Qui a la consistance ou la nature du bois, rigide et fibreux.","woody, ligneous","Flore/faune","","C'était partout la même sécheresse, les mêmes herbes ligneuses."
"la constance","n.f.","B2","Qualité de celui qui poursuit ses efforts de façon régulière et obstinée.","constancy, perseverance","Caractère","","quand je fais le compte de tout ce qu'il a fallu de constance dans la grandeur d'âme [...] je suis pris d'un immense respect [...]"
"l'acharnement","n.m.","C1","Persistance farouche et opiniâtre dans la poursuite d'un objectif.","relentless determination","Caractère","","quand je fais le compte de [...] l'acharnement dans la générosité pour obtenir ce résultat [...]"
"le délabrement","n.m.","C1","État très avancé de dégradation d'un bâtiment ou d'une situation.","state of disrepair, dilapidation","Paysage","","malgré le délabrement dans lequel la guerre avait laissé le pays, il y avait un car qui faisait le service [...]"
"une résurrection","n.f.","B2","Retour à la vie ou à l'activité après une période de mort ou de déclin.","resurrection, revival","Caractère","Sens figuré dans ce contexte","[un tilleul] déjà gras, symbole incontestable d'une résurrection."
"s'épanouir","v.","B2","Se développer pleinement, atteindre sa pleine croissance ou son plein potentiel.","to blossom, to flourish","Paysage","Verbe pronominal","la guerre n'avait pas permis l'épanouissement complet de la vie, mais Lazare était hors de son tombeau."
"se débarrasser de","loc.v.","B1","Se libérer de quelque chose ou de quelqu'un dont on ne veut plus.","to get rid of","Caractère","Verbe pronominal + préposition de","Il s'était débarrassé des moutons qui mettaient en péril ses plantations d'arbres."
"remédier à","v.","C1","Apporter une solution à un problème, corriger une situation défavorable.","to remedy, to fix","Caractère","Suivi de la préposition à","il avait jugé que ce pays mourait par manque d'arbres et il avait résolu de remédier à cet état de choses."
"à tout hasard","loc.adv.","B2","Sans être certain du résultat, en tentant sa chance.","on a chance, just in case","Caractère","","À tout hasard, je me dirigeai vers elle. C'était un berger."
"inoubliable","adj.","B2","Qui ne peut pas être oublié, qui laisse une impression durable.","unforgettable","Caractère","","on est alors, sans risque d'erreurs, devant un caractère inoubliable."
"un clocher","n.m.","B1","Tour d'une église surmontée d'une cloche, souvent le repère visuel d'un village.","bell tower, steeple","Habitat","","la petite chapelle au clocher écroulé, était rangée comme le sont les chapelles dans les villages vivants."
"s'écrouler","v.","B2","Tomber brusquement, s'effondrer sous son propre poids.","to collapse, to fall down","Paysage","Verbe pronominal","la petite chapelle au clocher écroulé, était rangée comme le sont les chapelles dans les villages vivants."
"brûlant","adj.","B1","Très chaud, qui brûle au toucher.","scorching, burning hot","Paysage","Forme féminine : brûlante","Une trentaine de moutons couchés sur la terre brûlante se reposaient près de lui."
"un tronc","n.m.","B1","Partie centrale et verticale d'un arbre, entre les racines et les branches.","trunk","Flore/faune","","Je la pris pour le tronc d'un arbre solitaire. À tout hasard, je me dirigeai vers elle. C'était un berger."
"un troupeau","n.m.","B1","Groupe d'animaux domestiques (moutons, vaches...) gardés ensemble.","flock, herd","Flore/faune","","Il laissa le petit troupeau à la garde du chien et il monta vers l'endroit où je me tenais."
"une silhouette","n.f.","B1","Forme sombre d'une personne ou d'une chose vue en contre-jour, à distance.","silhouette, figure","Paysage","","Il me sembla apercevoir dans le lointain une petite silhouette noire, debout."
"insupportable","adj.","B1","Qu'on ne peut pas supporter, extrêmement pénible.","unbearable, insufferable","Caractère","","sur ces terres sans abri et hautes dans le ciel, le vent soufflait avec une brutalité insupportable."
"trier","v.","B1","Séparer des éléments en classant ou en éliminant ceux qu'on ne veut pas.","to sort, to pick over","Caractère","","Après le repas de midi, il recommença à trier sa semence."
"soigneusement","adv.","B2","Avec beaucoup d'attention et de minutie.","carefully, meticulously","Caractère","","il trempa dans un seau d'eau le petit sac où il avait mis les glands soigneusement choisis et comptés."
"se soucier de","loc.v.","B2","Prendre en considération, s'inquiéter ou se préoccuper de quelque chose.","to care about, to worry about","Caractère","Verbe pronominal + préposition de","Lui ne se souciait pas de connaître les propriétaires. Il planta ainsi cent glands avec un soin extrême."
"une contrée","n.f.","B2","Région, territoire, pays (terme littéraire).","land, region, area","Paysage","Terme littéraire, plus rare que 'région'","C'est sans idée préconçue [...] que je repris le chemin de ces contrées désertes."
"désormais","adv.","B2","À partir de maintenant et dans l'avenir, dorénavant.","henceforth, from now on","Caractère","","pour détruire l'œuvre créée, il lui faudrait désormais avoir recours aux cyclones."
"avoir recours à","loc.v.","B2","Faire appel à quelque chose ou quelqu'un pour résoudre un problème.","to resort to, to turn to","Caractère","Suivi d'un nom ou d'un infinitif","au vingtième siècle, on était obligé d'avoir recours à des citernes pour avoir un peu d'eau."
"la sauvegarde","n.f.","B2","Protection assurée contre un danger, un risque de disparition.","protection, safeguarding","Société","","On décida [...] de mettre la forêt sous la sauvegarde de l'État et d'interdire qu'on vienne y charbonner."
"un casse-croûte","n.m.","B1","Repas simple et rapide, souvent pris sur le pouce.","snack, packed lunch","Société","","J'offris les quelques œufs que j'avais apportés en présent. Nous partageâmes notre casse-croûte en trois."
"muet","adj.","B1","Qui ne parle pas, silencieux, sans paroles.","silent, mute","Caractère","Forme féminine : muette","quelques heures passèrent dans la contemplation muette du paysage."
"l'aisance","n.f.","B2","Situation matérielle confortable ; facilité naturelle dans les mouvements ou la parole.","ease, comfort, well-being","Société","","Il n'a fallu que les huit ans qui nous séparent de cette époque pour que tout le pays resplendisse de santé et d'aisance."
"une source","n.f.","B1","Point d'où jaillit naturellement de l'eau du sol.","spring (water source)","Paysage","Sens : source d'eau naturelle (pas figuré)","Les vieilles sources, alimentées par les pluies et les neiges que retiennent les forêts, se sont remises à couler."
"canaliser","v.","B2","Diriger un cours d'eau dans un canal ; concentrer une énergie ou un flux.","to channel, to direct","Paysage","","Les vieilles sources se sont remises à couler. On en a canaliser les eaux."
"déborder","v.","B2","Sortir de ses limites, se répandre au-delà du bord.","to overflow, to spill over","Paysage","","dans les bosquets d'érables, les bassins des fontaines débordent sur des tapis de menthes fraîches."
"méconnaissable","adj.","B2","Tellement changé qu'on ne peut plus le reconnaître.","unrecognizable","Caractère","","l'ancienne population, méconnaissable depuis qu'elle vit avec douceur [...] doit son bonheur à Elzéard Bouffier."
"mener à bien","loc.v.","B2","Réussir à accomplir quelque chose jusqu'à sa conclusion.","to carry out successfully, to bring to completion","Caractère","Locution : mener qqch à bien","ce vieux paysan sans culture qui a su mener à bien cette œuvre digne de Dieu."
"la grandeur d'âme","loc.n.","C1","Noblesse morale, capacité à se dépasser par générosité ou courage.","greatness of soul, nobility of spirit","Caractère","","quand je fais le compte de tout ce qu'il a fallu de constance dans la grandeur d'âme [...] je suis pris d'un immense respect."
"une idée préconçue","loc.n.","B2","Opinion formée à l'avance, sans examen objectif des faits.","preconceived notion, preconception","Caractère","","C'est sans idée préconçue — sauf celle-là — que je repris le chemin de ces contrées désertes."
"à dire vrai","loc.adv.","B2","En réalité, à vrai dire (formule pour nuancer ou corriger ce qu'on dit).","to tell the truth, frankly","Caractère","","À dire vrai, la chose même n'avait pas marqué en moi : je l'avais considérée comme un dada, une collection de timbres."
