"mot","nature","niveau","définition FR","équivalent EN","thème","note d'usage","exemple en contexte"
"une inondation","n.f.","B1","Envahissement d'une zone habituellement sèche par les eaux.","flood","Environnement","","Les inondations ont obligé des centaines de familles à quitter leur maison."
"les déchets","n.m.","B1","Résidus ou ordures que l'on jette parce qu'on n'en a plus besoin.","waste, rubbish, trash","Environnement","pluriel","Il est important de trier ses déchets pour favoriser le recyclage."
"le recyclage","n.m.","B1","Procédé qui consiste à transformer des déchets pour les réutiliser.","recycling","Environnement","","Le recyclage du papier permet de préserver les forêts."
"une espèce","n.f.","B1","Groupe d'êtres vivants qui partagent les mêmes caractéristiques et peuvent se reproduire entre eux.","species","Environnement","","Plusieurs espèces animales sont menacées d'extinction."
"un écran","n.m.","B1","Surface sur laquelle s'affichent des images, une vidéo ou du texte.","screen","Technologie","","Les enfants passent trop de temps devant les écrans."
"télécharger","v.","B1","Transférer un fichier depuis internet vers son appareil.","to download","Technologie","","J'ai téléchargé une application pour apprendre le français."
"un réseau","n.m.","B1","Ensemble de connexions ou de personnes reliées entre elles.","network","Technologie","","Le réseau social lui permet de rester en contact avec ses amis du monde entier."
"un mot de passe","n.m.","B1","Combinaison secrète de caractères qui permet d'accéder à un compte ou un système.","password","Technologie","","Il a oublié son mot de passe et ne peut plus se connecter."
"un aéroport","n.m.","B1","Infrastructure où les avions décollent et atterrissent, avec des terminaux pour les passagers.","airport","Voyage","","Nous devons arriver à l'aéroport trois heures avant le départ."
"une gare","n.f.","B1","Lieu où les trains s'arrêtent pour embarquer et débarquer les passagers.","train station","Voyage","","La gare centrale de la ville est magnifique, construite au XIXe siècle."
"un musée","n.f.","B1","Lieu où sont conservées et exposées des œuvres d'art ou des objets historiques.","museum","Voyage","","Le musée du Louvre est le plus visité au monde."
"une plage","n.f.","B1","Étendue de sable ou de galets au bord de la mer ou d'un lac.","beach","Voyage","","On a passé une belle journée à la plage pendant les vacances."
"un chemin","n.m.","B1","Voie étroite pour se déplacer à pied, dans la nature ou à travers champs.","path, way","Voyage","","Nous avons suivi un chemin boisé jusqu'au sommet de la colline."
"réussir","v.","B1","Obtenir un résultat positif, atteindre un objectif.","to succeed, to pass","Actions","","Elle a réussi son examen avec une excellente note."
"échouer","v.","B1","Ne pas obtenir le résultat espéré, ne pas atteindre un objectif.","to fail","Actions","","Il a échoué à son permis de conduire mais compte réessayer."
"choisir","v.","B1","Prendre une décision entre plusieurs possibilités.","to choose","Actions","","Il est difficile de choisir quand toutes les options semblent bonnes."
"expliquer","v.","B1","Donner des informations claires pour faire comprendre quelque chose.","to explain","Actions","","Le professeur explique la règle de grammaire avec plusieurs exemples."
"partager","v.","B1","Diviser quelque chose pour en donner une partie à d'autres.","to share","Actions","","Il partage toujours son repas avec ses amis qui n'ont rien mangé."
"améliorer","v.","B1","Rendre meilleur, plus efficace ou plus satisfaisant.","to improve","Actions","","Elle s'entraîne tous les jours pour améliorer ses performances."
"résoudre","v.","B1","Trouver la solution à un problème ou à une difficulté.","to solve","Actions","","Il a réussi à résoudre le problème mathématique en quelques minutes."
"construire","v.","B1","Bâtir quelque chose en assemblant des éléments, de manière concrète ou abstraite.","to build, to construct","Actions","","Ils construisent une nouvelle école dans le quartier."
"participer","v.","B1","Prendre part activement à quelque chose.","to participate, to take part","Actions","","Tout le monde est invité à participer au débat."
"obtenir","v.","B1","Arriver à avoir ce que l'on voulait ou demandait.","to obtain, to get","Actions","","Elle a obtenu une bourse pour poursuivre ses études à l'étranger."
"difficile","adj.","B1","Qui demande beaucoup d'efforts, qui n'est pas facile.","difficult, hard","Adjectifs","","Ce problème est difficile, mais pas impossible à résoudre."
"utile","adj.","B1","Qui sert à quelque chose, qui rend service.","useful","Adjectifs","","Un bon dictionnaire est très utile pour apprendre une langue."
"dangereux","adj.","B1","Qui peut causer un accident, une blessure ou un tort.","dangerous","Adjectifs","","Il est dangereux de traverser la rue sans regarder."
"ennuyeux","adj.","B1","Qui manque d'intérêt ou d'animation, qui cause de l'ennui.","boring","Adjectifs","","Le film était si ennuyeux que plusieurs personnes se sont endormies."
"passionnant","adj.","B1","Qui suscite un très grand intérêt, qui captive.","fascinating, exciting","Adjectifs","","La conférence sur l'espace était absolument passionnante."
"courageux","adj.","B1","Qui affronte les difficultés ou les dangers sans se laisser décourager.","brave, courageous","Adjectifs","","Il a été très courageux face à la maladie."
"honnête","adj.","B1","Qui agit avec droiture, qui dit la vérité et ne trompe pas.","honest","Adjectifs","","Un bon ami est quelqu'un d'honnête, même quand c'est difficile à entendre."
"gratuit","adj.","B1","Qui ne coûte rien, pour lequel on ne paie pas.","free (of charge)","Adjectifs","","L'entrée au musée est gratuite le premier dimanche du mois."
"prévu","adj.","B1","Qui a été planifié ou anticipé à l'avance.","planned, expected","Adjectifs","","Le voyage est prévu pour le mois de juillet."
"nécessaire","adj.","B1","Dont on a absolument besoin, indispensable.","necessary","Adjectifs","","Il est nécessaire de dormir suffisamment pour rester en bonne santé."
"capable","adj.","B1","Qui a les aptitudes ou les compétences pour faire quelque chose.","capable, able","Adjectifs","","Je suis sûre que tu es capable de réussir si tu travailles."
"une habitude","n.f.","B1","Comportement régulier que l'on a acquis avec le temps.","habit","Comportement","","Prendre une bonne habitude alimentaire dès le jeune âge est très bénéfique."
"un effort","n.m.","B1","Énergie physique ou mentale déployée pour accomplir quelque chose.","effort","Comportement","","Avec de l'effort et de la persévérance, tout est possible."
"un conseil","n.m.","B1","Recommandation donnée à quelqu'un pour l'aider à prendre une décision.","advice, tip","Comportement","","Il m'a donné d'excellents conseils pour préparer mon entretien."
"une occasion","n.f.","B1","Moment favorable pour faire quelque chose.","opportunity, occasion","Comportement","","C'est une occasion unique de rencontrer cet auteur en personne."
"un résultat","n.m.","B1","Ce que l'on obtient à la fin d'une action ou d'un processus.","result, outcome","Comportement","","Les résultats de l'enquête seront publiés la semaine prochaine."
"une solution","n.f.","B1","Réponse à un problème, moyen de surmonter une difficulté.","solution","Comportement","","Il n'existe pas de solution parfaite à ce problème complexe."
"un avantage","n.m.","B1","Élément positif qui donne une supériorité ou un bénéfice.","advantage, benefit","Comportement","","L'avantage du vélo en ville, c'est d'éviter les embouteillages."
"un inconvénient","n.m.","B1","Élément négatif, désavantage d'une situation ou d'un choix.","disadvantage, drawback","Comportement","","L'inconvénient de vivre en dehors de la ville, c'est d'être loin de tout."
"un débat","n.m.","B2","Discussion organisée où des personnes expriment des opinions opposées.","debate","Société","","Le débat sur l'environnement a réuni des experts du monde entier."
"une inégalité","n.f.","B2","Différence injuste entre des personnes dans l'accès aux ressources ou aux droits.","inequality","Société","","Les inégalités sociales restent un défi majeur dans de nombreux pays."
"une manifestation","n.f.","B2","Rassemblement public pour exprimer une opinion ou protester contre quelque chose.","demonstration, protest","Société","","Des milliers de personnes ont participé à la manifestation pour le climat."
"le chômage","n.m.","B2","Situation d'une personne qui n'a pas d'emploi mais en cherche un.","unemployment","Économie","","Le taux de chômage a légèrement baissé ce trimestre."
"une réforme","n.f.","B2","Changement important apporté à une institution ou à un système pour l'améliorer.","reform","Société","","Le gouvernement a présenté sa réforme du système éducatif."
"un impôt","n.m.","B2","Somme d'argent que les citoyens versent à l'État pour financer les services publics.","tax","Économie","","Les impôts servent à financer les écoles, les hôpitaux et les routes."
"la croissance","n.f.","B2","Augmentation progressive, en taille, en nombre ou en importance.","growth","Économie","","La croissance économique du pays est l'une des plus fortes d'Europe."
"approfondir","v.","B2","Étudier ou développer quelque chose de manière plus détaillée et rigoureuse.","to deepen, to explore further","Actions","","Il faut approfondir cette analyse avant de tirer des conclusions."
"s'adapter","v.","B2","Modifier son comportement pour correspondre à une nouvelle situation.","to adapt","Actions","","Il faut savoir s'adapter quand on vit dans un nouveau pays."
"distinguer","v.","B2","Percevoir ou établir une différence entre deux choses.","to distinguish, to tell apart","Actions","","Il est important de distinguer les faits des opinions."
"reconnaître","v.","B2","Identifier quelqu'un ou quelque chose que l'on a déjà vu ou entendu.","to recognize","Actions","","Je l'ai immédiatement reconnu à sa voix."
"se méfier","v.","B2","Être prudent et ne pas faire confiance trop facilement.","to be wary of, to distrust","Actions","","Il faut se méfier des informations non vérifiées sur internet."
"nuire","v.","B2","Causer du tort ou du dommage à quelqu'un ou quelque chose.","to harm","Actions","","Fumer nuit gravement à la santé."
"complexe","adj.","B2","Qui comporte de nombreux éléments difficiles à comprendre ou à analyser.","complex","Adjectifs","","La situation politique est très complexe et difficile à résumer."
"ambigu","adj.","B2","Qui peut être interprété de plusieurs façons différentes, pas clair.","ambiguous","Adjectifs","","Sa réponse était ambiguë, on ne sait pas vraiment ce qu'il voulait dire."
"précaire","adj.","B2","Qui n'est pas stable, qui peut se détériorer ou disparaître facilement.","precarious","Adjectifs","","Beaucoup de jeunes vivent dans une situation financière précaire."
"remarquable","adj.","B2","Digne d'être remarqué, qui se distingue par sa qualité ou son importance.","remarkable","Adjectifs","","Son parcours est vraiment remarquable : il a tout construit à partir de rien."
"progressif","adj.","B2","Qui avance par étapes, peu à peu, de manière graduelle.","gradual, progressive","Adjectifs","","L'apprentissage d'une langue est un processus progressif qui demande du temps."
